match_id,home,away,hg,ag,outcome,p_home,p_draw,p_away,brier,logloss,date_scored
Mexico_vs_South Africa,Mexico,South Africa,2,0,H,0.6135,0.2461,0.1404,0.2296,0.4885,2026-06-14
South Korea_vs_Czech Republic,South Korea,Czech Republic,2,1,H,0.581,0.2325,0.1865,0.2644,0.543,2026-06-14
Bosnia and Herzegovina_vs_Canada,Bosnia and Herzegovina,Canada,1,1,D,0.0934,0.1947,0.7119,1.164,1.6364,2026-06-14
Australia_vs_Turkey,Australia,Turkey,2,0,H,0.618,0.225,0.157,0.2213,0.4813,2026-06-14
Haiti_vs_Scotland,Haiti,Scotland,0,1,A,0.3188,0.2627,0.4185,0.5088,0.871,2026-06-14
Brazil_vs_Morocco,Brazil,Morocco,1,1,D,0.4381,0.3281,0.2339,0.6981,1.1146,2026-06-14
Qatar_vs_Switzerland,Qatar,Switzerland,1,1,D,0.1971,0.2332,0.5698,0.9515,1.456,2026-06-14
United States_vs_Paraguay,United States,Paraguay,4,1,H,0.3807,0.3082,0.3111,0.5752,0.9656,2026-06-14
Germany_vs_Curaçao,Germany,Curaçao,7,1,H,0.7757,0.1431,0.0813,0.0774,0.2541,2026-06-15
Netherlands_vs_Japan,Netherlands,Japan,2,2,D,0.2473,0.2477,0.505,0.8821,1.3955,2026-06-15
Sweden_vs_Tunisia,Sweden,Tunisia,5,1,H,0.3159,0.2865,0.3976,0.7081,1.1522,2026-06-15
Ivory Coast_vs_Ecuador,Ivory Coast,Ecuador,1,0,H,0.1852,0.3244,0.4904,1.0095,1.6861,2026-06-15
Iran_vs_New Zealand,Iran,New Zealand,2,2,D,0.4695,0.2873,0.2431,0.7875,1.2472,2026-06-15
Saudi Arabia_vs_Uruguay,Saudi Arabia,Uruguay,1,1,D,0.1337,0.2439,0.6224,0.9769,1.4109,2026-06-15
Belgium_vs_Egypt,Belgium,Egypt,1,1,D,0.4885,0.2878,0.2237,0.796,1.2456,2026-06-15
Spain_vs_Cape Verde,Spain,Cape Verde,0,0,D,0.8228,0.1269,0.0502,1.4419,2.0643,2026-06-15
