team,group,advance_prob,top2_prob,via_third_prob
Argentina,J,0.9828,0.9416,0.0411
Brazil,C,0.9813,0.9347,0.0466
Spain,H,0.9709,0.8983,0.0726
Japan,F,0.9442,0.8567,0.0875
England,L,0.9333,0.8367,0.0966
Ecuador,E,0.9281,0.7906,0.1374
Uruguay,H,0.9262,0.8105,0.1157
Canada,B,0.9257,0.8089,0.1168
Colombia,K,0.9102,0.8018,0.1084
Germany,E,0.9073,0.7365,0.1708
Mexico,A,0.9056,0.7834,0.1221
France,I,0.9014,0.7891,0.1124
Switzerland,B,0.8969,0.7527,0.1442
Morocco,C,0.891,0.7577,0.1333
Australia,D,0.8747,0.7303,0.1444
South Korea,A,0.8655,0.7187,0.1469
Netherlands,F,0.8286,0.6609,0.1678
Portugal,K,0.8277,0.6763,0.1515
Belgium,G,0.8106,0.6545,0.1561
Iran,G,0.7951,0.6347,0.1604
Croatia,L,0.77,0.5828,0.1872
United States,D,0.7547,0.5583,0.1963
Senegal,I,0.7167,0.5264,0.1903
Algeria,J,0.702,0.5033,0.1987
Paraguay,D,0.6876,0.4671,0.2205
Ivory Coast,E,0.6852,0.3916,0.2935
Qatar,B,0.5793,0.3104,0.2688
Norway,I,0.579,0.3792,0.1998
Panama,L,0.5729,0.3564,0.2165
New Zealand,G,0.5697,0.3756,0.1941
Austria,J,0.5521,0.3465,0.2056
Uzbekistan,K,0.5402,0.3234,0.2168
Egypt,G,0.5377,0.3352,0.2026
Tunisia,F,0.5153,0.2838,0.2315
Iraq,I,0.4991,0.3053,0.1938
Czech Republic,A,0.4867,0.2683,0.2183
Saudi Arabia,H,0.4787,0.2094,0.2693
South Africa,A,0.4325,0.2296,0.2029
Scotland,C,0.4158,0.184,0.2319
Turkey,D,0.4151,0.2443,0.1708
Ghana,L,0.3981,0.2242,0.1739
Jordan,J,0.374,0.2085,0.1655
Sweden,F,0.3724,0.1986,0.1737
DR Congo,K,0.371,0.1986,0.1725
Haiti,C,0.3001,0.1236,0.1764
Bosnia and Herzegovina,B,0.2856,0.128,0.1575
Cape Verde,H,0.2162,0.0819,0.1343
Curaçao,E,0.1853,0.0813,0.104
