team,group,advance_prob,top2_prob,via_third_prob
Mexico,A,0.9873,0.9129,0.0745
Australia,D,0.9855,0.8926,0.0929
United States,D,0.9831,0.8855,0.0976
Argentina,J,0.983,0.9425,0.0405
Brazil,C,0.9829,0.9242,0.0587
South Korea,A,0.9738,0.8754,0.0984
Spain,H,0.972,0.9039,0.0682
Japan,F,0.943,0.8535,0.0895
England,L,0.9366,0.8407,0.096
Uruguay,H,0.928,0.8114,0.1167
Ecuador,E,0.9262,0.7923,0.1338
Morocco,C,0.9224,0.765,0.1575
Colombia,K,0.9107,0.7996,0.111
France,I,0.9041,0.7943,0.1099
Germany,E,0.9,0.73,0.1699
Switzerland,B,0.8398,0.6794,0.1605
Netherlands,F,0.831,0.6666,0.1643
Portugal,K,0.8299,0.6731,0.1568
Canada,B,0.8297,0.6867,0.1431
Belgium,G,0.8114,0.6569,0.1545
Iran,G,0.7973,0.6342,0.1631
Croatia,L,0.7655,0.5851,0.1804
Senegal,I,0.7134,0.5246,0.1887
Scotland,C,0.7107,0.2944,0.4163
Algeria,J,0.6939,0.5046,0.1894
Ivory Coast,E,0.686,0.3963,0.2897
Qatar,B,0.6421,0.419,0.223
Norway,I,0.5775,0.378,0.1995
Panama,L,0.5736,0.3558,0.2177
New Zealand,G,0.5661,0.3723,0.1938
Austria,J,0.547,0.3421,0.2049
Uzbekistan,K,0.5444,0.3253,0.219
Egypt,G,0.5399,0.3367,0.2032
Tunisia,F,0.5184,0.2867,0.2318
Iraq,I,0.4958,0.3031,0.1926
Saudi Arabia,H,0.4732,0.2031,0.2701
Paraguay,D,0.4199,0.1255,0.2944
Czech Republic,A,0.4084,0.1226,0.2858
Ghana,L,0.3973,0.2183,0.179
Jordan,J,0.3802,0.2109,0.1694
DR Congo,K,0.3737,0.2019,0.1718
Sweden,F,0.3721,0.1931,0.1789
Bosnia and Herzegovina,B,0.3705,0.215,0.1556
South Africa,A,0.2882,0.0891,0.199
Turkey,D,0.2809,0.0964,0.1845
Cape Verde,H,0.2178,0.0817,0.1361
Curaçao,E,0.1862,0.0814,0.1049
Haiti,C,0.0796,0.0165,0.0631
