team,R16,QF,SF,Final,Win
Argentina,0.9183,0.6875,0.4617,0.2982,0.2064
Colombia,0.8636,0.5425,0.3801,0.2443,0.1201
Spain,0.7965,0.6044,0.305,0.1757,0.1082
Brazil,0.583,0.4709,0.3071,0.1659,0.1066
France,0.7961,0.4938,0.2897,0.1534,0.067
England,0.7292,0.4111,0.2028,0.0905,0.05
Portugal,0.663,0.3125,0.1959,0.1116,0.048
Japan,0.4169,0.3051,0.1739,0.0792,0.044
Morocco,0.5533,0.3557,0.1926,0.0994,0.0427
Ecuador,0.5747,0.3059,0.1419,0.0595,0.0307
Belgium,0.5923,0.3879,0.1616,0.0799,0.0284
Germany,0.6175,0.2979,0.1542,0.0696,0.0235
Netherlands,0.4467,0.2723,0.1346,0.0585,0.0215
Australia,0.626,0.2037,0.0931,0.0394,0.0179
Canada,0.7333,0.3126,0.1353,0.0541,0.0166
United States,0.8044,0.3523,0.1174,0.0465,0.0127
Mexico,0.4253,0.1946,0.0738,0.0259,0.0102
Senegal,0.4078,0.2288,0.0773,0.0311,0.0095
Croatia,0.3371,0.1143,0.0558,0.0221,0.0062
Switzerland,0.5024,0.155,0.0437,0.0135,0.0056
Paraguay,0.3825,0.1457,0.0596,0.0197,0.0055
Algeria,0.4975,0.1543,0.0443,0.0129,0.005
Ivory Coast,0.4834,0.1121,0.0392,0.0106,0.0032
Norway,0.5166,0.1118,0.0382,0.0088,0.0029
Egypt,0.374,0.0895,0.0296,0.0083,0.0024
DR Congo,0.2707,0.0885,0.0231,0.006,0.0022
Austria,0.2035,0.0863,0.0188,0.0052,0.0014
Sweden,0.2039,0.0626,0.0203,0.0046,0.0009
Ghana,0.1364,0.0307,0.0089,0.0021,0.0004
South Africa,0.2667,0.0594,0.0137,0.0029,0.0004
Bosnia and Herzegovina,0.1956,0.031,0.003,0.0003,0.0001
Cape Verde,0.0818,0.0193,0.0037,0.0006,0.0
